멘티_ID,현재 기술 수준,학습 목표,관심 분야
137,초급,자바스크립트 배우기,컴퓨터 그래픽
138,고급,성공적인 팀워크 기술 연마,인권
139,초급,브랜딩 전략 개발,도시 계획
140,초급,공공 연설 능력 개발,요리
141,고급,음악 이론 배우기,디지털 마케팅
142,고급,농업 기술 배우기,방송
143,초급,카피라이팅 기술 배우기,시간 관리
144,고급,동물 보호 관련 지식 배우기,기술 혁신
145,초급,글로벌 비즈니스 이해,교육
146,초급,해외 여행 계획 기술 향상,통신
147,중급,영화 제작 이해,바이오테크놀로지
148,중급,공연 기획 배우기,화학
149,고급,환경 보호 관련 지식 배우기,팀 관리
150,초급,게임 디자인 이해,글쓰기
151,고급,프리랜서 비즈니스 관리,공학
152,중급,데이터베이스 설계 배우기,정치학
153,중급,창의적 사고력 향상,팀 관리
154,중급,기초 의학 학습,경제
155,중급,독서 및 분석 능력 향상,3D 프린팅
156,초급,유튜브 영상 편집 배우기,화학
157,초급,청중 분석 능력 개발,도시 계획
158,초급,애니메이션 제작 배우기,화학 실험
159,중급,인공지능 알고리즘 이해하기,화학 실험
160,중급,기계 공학 원리 학습,사회학
161,중급,네트워킹 기술 향상,농업
162,중급,국제 정치 분석 기술,명상
163,중급,동물 보호 관련 지식 배우기,커리어 개발
164,초급,자바스크립트 배우기,인권
165,고급,창의적 사고력 향상,인터뷰
166,중급,가상 현실 개발 학습,자기계발
167,고급,청중 분석 능력 개발,해양학
168,고급,유튜브 영상 편집 배우기,가상 현실
169,중급,공연 기획 배우기,지질학
170,초급,인테리어 소품 디자인 배우기,정원 가꾸기
171,고급,디지털 마케팅 기술 향상,명상
172,초급,시간 관리 기술 향상,건축
173,초급,재무 보고서 분석,공학
174,초급,서비스 디자인 학습,그래픽 디자인
175,고급,감정 조절 기술 배우기,문학
176,고급,리더십 기술 향상,지질학
177,중급,장기 목표 설정,교수법
178,초급,기업가 정신 배우기,프로젝트 관리
179,고급,장기 목표 설정,직업 훈련
180,중급,기초 의학 학습,팀 관리
181,초급,협상 기술 배우기,사진
182,고급,인테리어 디자인 배우기,경영학
183,중급,패션 산업 이해,화학
184,초급,영어 작문 기술 향상,지구과학
185,중급,사회적 미디어 전략 개발,인터뷰
186,고급,웹툰 제작 기술 배우기,기계 공학
187,고급,통계학 공부,애니메이션
188,중급,인테리어 디자인 배우기,경영학
189,초급,자동차 정비 배우기,우주과학
190,초급,커뮤니케이션 전략 배우기,명상
191,중급,리더십 기술 향상,공학
192,중급,유튜브 영상 편집 배우기,환경 보호
193,초급,리더십 기술 향상,동물학
194,고급,바리스타 기술 연마,그래픽 디자인
195,초급,사진 촬영 기술 향상,농업
196,중급,영어 작문 기술 향상,감정 관리
197,중급,데이터베이스 설계 배우기,명상
198,중급,웹툰 제작 기술 배우기,사회학
199,고급,스키 기술 향상,브랜딩
200,고급,패션 디자인 배우기,투자
201,고급,심리학 학습,물리학
202,초급,패션 디자인 배우기,기후 변화
203,초급,생산성 높이는 방법 배우기,자기계발
204,중급,고급 수학 학습,네트워킹
205,초급,프리젠테이션 능력 개발,체육
206,중급,디지털 마케팅 기술 향상,자연 보전
207,고급,패션 산업 이해,리더십
208,초급,기계 공학 원리 학습,천문학
209,초급,도시 계획 이해,인테리어 디자인
210,고급,기초 의학 학습,심리학
211,고급,기계 공학 원리 학습,기술 혁신
212,초급,독서 및 분석 능력 향상,네트워킹
213,고급,도시 계획 이해,생물학
214,초급,공연 기획 배우기,지리학
215,중급,건축 설계 학습,우주과학
216,초급,음악 이론 배우기,기술 혁신
217,고급,발표 스킬 향상,조각
218,고급,서핑 배우기,출판
219,고급,프로그래밍 능력 향상,바다 생물학
220,초급,외국어 배우기,교육
221,초급,발표 스킬 향상,3D 프린팅
222,중급,기업가 정신 배우기,인테리어 디자인
223,초급,장기 목표 설정,광고
224,고급,발표 스킬 향상,음악
225,중급,서핑 배우기,재무 관리
226,중급,청중 분석 능력 개발,물리학 실험
227,중급,문학 분석 능력 개발,지질학
228,중급,동물 보호 관련 지식 배우기,농업
229,고급,공연 기획 배우기,해양학
230,고급,웹툰 제작 기술 배우기,철학
231,중급,인테리어 소품 디자인 배우기,그래픽 디자인
232,중급,게임 디자인 이해,생물학
233,중급,조경 디자인 학습,스트레스 관리
234,고급,문제 해결 능력 개발,기후 변화
235,고급,문서 작성 기술 배우기,소셜 미디어
236,초급,영화 제작 이해,기술 혁신
237,중급,비평적 사고력 향상,컴퓨터 그래픽
238,초급,기업가 정신 배우기,광고
239,고급,문제 해결 능력 개발,정원 가꾸기
240,중급,영화 제작 이해,게임
241,중급,공공 연설 능력 개발,도시 계획
242,초급,인테리어 소품 디자인 배우기,교수법
243,초급,비즈니스 네트워킹 스킬 향상,비즈니스 윤리
244,초급,브랜딩 전략 개발,문학
245,고급,제품 개발 프로세스 이해,피트니스
246,고급,재무 보고서 분석,정치학
247,중급,웹툰 제작 기술 배우기,식물학
248,초급,생산성 높이는 방법 배우기,조각
249,고급,사회적 미디어 전략 개발,브랜딩
250,고급,영어 작문 기술 향상,언어
251,중급,문제 해결 능력 개발,물리학 실험
252,초급,공공 연설 능력 개발,기계 공학
253,중급,개인 브랜딩 전략 학습,법학
254,중급,비즈니스 모델 개발,광고
255,초급,제품 개발 프로세스 이해,경제학
256,고급,아마추어 극단 운영 기술,건강 관리
257,고급,공연 기획 배우기,3D 프린팅
258,초급,커뮤니케이션 전략 배우기,생물학
259,고급,공연 기획 배우기,생물학
260,고급,웹툰 제작 기술 배우기,광고
261,중급,스키 기술 향상,시간 관리
262,중급,서핑 배우기,인터뷰
263,초급,타임 매니지먼트 배우기,직업 훈련
264,고급,아마추어 극단 운영 기술,무용
265,초급,음악 이론 배우기,문화
266,고급,글로벌 비즈니스 이해,코딩
267,중급,발표 스킬 향상,자기계발
268,고급,명상 및 스트레스 관리 배우기,소셜 미디어
269,중급,발표 스킬 향상,기계 공학
270,고급,문제 해결 능력 개발,역사
271,중급,프로그래밍 능력 향상,도시 계획
272,중급,인테리어 소품 디자인 배우기,네트워킹
273,고급,프로그래밍 능력 향상,투자
274,초급,프리랜서 비즈니스 관리,광고
275,중급,바리스타 기술 연마,증강 현실
276,초급,소셜 미디어 마케팅 배우기,정원 가꾸기
277,초급,조경 디자인 학습,증강 현실
278,중급,협상 기술 배우기,문화
279,고급,서핑 배우기,우주과학
280,고급,영화 비평 기술 향상,해양학
281,고급,인터뷰 기술 향상,감정 관리
282,고급,대인 관계 기술 향상,문화
283,초급,생물학 원리 이해,미디어
284,초급,프로그래밍 능력 향상,우주과학
285,중급,생산성 높이는 방법 배우기,연극
286,고급,창의적 사고력 향상,농업
287,고급,제품 개발 프로세스 이해,미디어
288,초급,창의적 사고력 향상,스트레스 관리
289,초급,카메라 촬영 기술 배우기,웰빙
290,초급,예술사 학습,해양학
291,중급,개인 브랜딩 전략 학습,인테리어 디자인
292,중급,공공 연설 능력 개발,출판
293,중급,그래픽 디자인 능력 개발,자동차
294,중급,성공적인 팀워크 기술 연마,교육
295,초급,외국어 배우기,방송
296,중급,프리젠테이션 능력 개발,무용
297,중급,기업가 정신 배우기,조각
298,고급,블록체인 기술 학습,패션
299,고급,인권 문제 이해,연극
300,중급,산업 디자인 기술 배우기,도시 계획
301,중급,요리 기술 향상,브랜딩
302,중급,바리스타 기술 연마,인공지능
303,초급,패션 디자인 배우기,지구과학
304,초급,제품 개발 프로세스 이해,인권
305,중급,공연 기획 배우기,공학
306,고급,바리스타 기술 연마,철학
307,중급,패션 디자인 배우기,인테리어 디자인
308,초급,인권 문제 이해,산업 디자인
309,중급,비즈니스 모델 개발,환경 보호
310,초급,통계학 공부,코딩
311,초급,타임 매니지먼트 배우기,인공지능
312,초급,영화 비평 기술 향상,화학 실험
313,중급,조경 디자인 학습,소셜 미디어
314,중급,동물 보호 관련 지식 배우기,방송
315,고급,소셜 미디어 마케팅 배우기,재무 관리
316,중급,패션 디자인 배우기,환경 보호
317,초급,프리젠테이션 능력 개발,경영학
318,고급,리더십 기술 향상,창업
319,중급,소셜 미디어 마케팅 배우기,문화
320,중급,생산성 높이는 방법 배우기,물리학 실험
321,고급,패션 산업 이해,항공
322,초급,청중 분석 능력 개발,무용
323,초급,문서 작성 기술 배우기,디지털 마케팅
324,초급,애니메이션 제작 배우기,조각
325,중급,요리 기술 향상,바다 생물학
326,초급,타임 매니지먼트 배우기,창업
327,초급,대인 관계 기술 향상,창업
328,고급,네트워킹 기술 향상,비즈니스 윤리
329,초급,시간 관리 기술 향상,기상학
330,초급,비즈니스 윤리 배우기,연극
331,고급,시간 관리 기술 향상,여행
332,초급,고전 문학 학습,기후 변화
333,초급,비즈니스 모델 개발,식물학
334,중급,국제 협상 기술 배우기,바이오테크놀로지
335,고급,비즈니스 윤리 배우기,리더십
336,초급,블록체인 기술 학습,코딩
337,초급,고전 문학 학습,비즈니스 윤리
338,중급,인권 문제 이해,방송
339,중급,비즈니스 네트워킹 스킬 향상,로봇공학
340,중급,장기 목표 설정,3D 프린팅
341,중급,환경 보호 관련 지식 배우기,프로젝트 관리
342,중급,게임 디자인 이해,사회학
343,고급,사진 촬영 기술 향상,천문학
344,초급,바이올린 연주 배우기,영화 제작
345,중급,인테리어 디자인 배우기,컴퓨터 그래픽
346,초급,커뮤니케이션 전략 배우기,그래픽 디자인
347,고급,연구 논문 작성 기술 연마,커리어 개발
348,고급,인권 문제 이해,출판
349,초급,자동차 정비 배우기,연극
350,중급,인테리어 소품 디자인 배우기,지리학
351,초급,국제 정치 분석 기술,3D 프린팅
352,중급,재테크 학습,무용
353,중급,문학 분석 능력 개발,사회학
354,고급,프리랜서 비즈니스 관리,인공지능
355,중급,디지털 마케팅 기술 향상,출판
356,중급,동물 보호 관련 지식 배우기,인권
357,고급,블록체인 기술 학습,인공지능
358,고급,게임 디자인 이해,직업 훈련
359,고급,네트워킹 기술 향상,재무 관리
360,고급,의사소통 기술 향상,자연 보전
361,초급,비즈니스 모델 개발,사회학
362,초급,공연 기획 배우기,농업
363,고급,웹툰 제작 기술 배우기,심리학
364,초급,생산성 높이는 방법 배우기,명상
365,고급,해외 여행 계획 기술 향상,웰빙
366,초급,패션 산업 이해,통신
367,고급,패션 디자인 배우기,건강 관리
368,초급,아마추어 극단 운영 기술,사진
369,고급,발표 스킬 향상,공학
370,고급,생산성 높이는 방법 배우기,경제
371,초급,농업 기술 배우기,미디어
372,초급,문제 해결 능력 개발,기후 변화
373,초급,기계 공학 원리 학습,네트워킹
374,고급,디지털 마케팅 기술 향상,음악
375,중급,그래픽 디자인 능력 개발,교육
376,중급,명상 및 스트레스 관리 배우기,자연 보전
377,초급,패션 디자인 배우기,사진
378,고급,기초 의학 학습,농업
379,고급,예술사 학습,방송
380,초급,프리랜서 비즈니스 관리,리더십
381,고급,인터뷰 기술 향상,감정 관리
382,중급,외국어 배우기,연극
383,고급,동물 보호 관련 지식 배우기,도시 계획
384,중급,통계학 공부,게임
385,중급,외국어 배우기,미술사
386,초급,프리랜서 비즈니스 관리,바이오테크놀로지
387,초급,성공적인 팀워크 기술 연마,정치학
388,중급,프리젠테이션 능력 개발,직업 훈련
389,고급,감정 조절 기술 배우기,기상학
390,중급,공연 기획 배우기,환경 보호
391,중급,기초 의학 학습,미술사
392,중급,연극 연출 능력 키우기,연극
393,고급,영화 제작 이해,미디어
394,고급,기계 공학 원리 학습,재무 관리
395,고급,소셜 미디어 마케팅 배우기,지질학
396,고급,블록체인 기술 학습,마케팅
397,고급,문제 해결 능력 개발,가상 현실
398,초급,영어 작문 기술 향상,농업
399,초급,인권 문제 이해,네트워킹
400,중급,유행 분석 배우기,패션
401,중급,리더십 기술 향상,해양학
402,중급,기타 연주 배우기,사회학
403,초급,발표 스킬 향상,인터뷰
404,중급,청중 분석 능력 개발,식물학
405,중급,생산성 높이는 방법 배우기,도시 계획
406,중급,자바스크립트 배우기,항공
407,중급,문제 해결 능력 개발,인공지능
408,초급,국제 정치 분석 기술,물리학
409,중급,성공적인 팀워크 기술 연마,예술
410,고급,영어 작문 기술 향상,인터뷰
411,초급,브랜딩 전략 개발,예술
412,중급,글로벌 비즈니스 이해,영화 제작
413,초급,건축 설계 학습,바이오테크놀로지
414,중급,카메라 촬영 기술 배우기,팀 관리
415,초급,장기 목표 설정,교수법
416,초급,프로그래밍 능력 향상,생물학
417,고급,아마추어 극단 운영 기술,인테리어 디자인
418,초급,문학 분석 능력 개발,글쓰기
419,고급,유튜브 영상 편집 배우기,미디어
420,초급,유행 분석 배우기,창업
421,중급,현대 철학 이해,광고
422,중급,웹툰 제작 기술 배우기,경제학
423,고급,아마추어 극단 운영 기술,인터뷰
424,고급,네트워킹 기술 향상,무용
425,초급,기타 연주 배우기,역사
426,고급,인터뷰 기술 향상,기상학
427,고급,스토리텔링 능력 개발,바다 생물학
428,고급,기타 연주 배우기,정치학
429,초급,기계 공학 원리 학습,문화
430,중급,애니메이션 제작 배우기,지리학
431,고급,국제 협상 기술 배우기,네트워킹
432,고급,해외 여행 계획 기술 향상,공공 연설
433,초급,패션 디자인 배우기,마케팅
434,초급,게임 디자인 이해,비즈니스 윤리
435,고급,문서 작성 기술 배우기,교육
436,고급,예술사 학습,패션
437,중급,서핑 배우기,기후 변화
438,중급,국제 정치 분석 기술,재무 관리
439,고급,국제 협상 기술 배우기,인터뷰
440,고급,서핑 배우기,브랜딩
441,초급,서비스 디자인 학습,증강 현실
442,중급,카피라이팅 기술 배우기,문화
443,고급,발표 스킬 향상,여행
444,초급,공연 기획 배우기,방송
445,중급,유튜브 영상 편집 배우기,자연 보전
446,고급,아마추어 극단 운영 기술,정치학
447,초급,동물 보호 관련 지식 배우기,코딩
448,중급,농업 기술 배우기,영화 제작
449,초급,바이올린 연주 배우기,화학
450,중급,네트워킹 기술 향상,화학 실험
451,중급,공연 기획 배우기,영화
452,초급,웹툰 제작 기술 배우기,직무 분석
453,중급,현대 철학 이해,리더십
454,중급,발표 스킬 향상,산업 디자인
455,중급,인터뷰 기술 향상,영화
456,중급,프리젠테이션 능력 개발,팀 관리
457,고급,기초 의학 학습,천문학
458,중급,연극 연출 능력 키우기,패션
459,초급,비즈니스 모델 개발,영화
460,고급,국제 정치 분석 기술,사진
461,초급,디지털 마케팅 기술 향상,디지털 마케팅
462,초급,동물 보호 관련 지식 배우기,무용
463,초급,감정 조절 기술 배우기,영화
464,초급,리더십 기술 향상,자기계발
465,고급,기타 연주 배우기,생물학
466,고급,프리젠테이션 능력 개발,요리
467,고급,타임 매니지먼트 배우기,자동차
468,고급,건축 설계 학습,마케팅
469,중급,글로벌 비즈니스 이해,바이오테크놀로지
470,중급,외국어 배우기,문화
471,초급,디지털 마케팅 기술 향상,자기계발
472,중급,외국어 배우기,가상 현실
473,중급,카피라이팅 기술 배우기,항공
474,중급,성공적인 팀워크 기술 연마,해양학
475,중급,고전 문학 학습,인터뷰
476,고급,도시 계획 이해,기계 공학
477,고급,서비스 디자인 학습,기계 공학
478,고급,영화 제작 이해,방송
479,고급,기타 연주 배우기,농업
480,고급,연구 논문 작성 기술 연마,문화
481,초급,발표 스킬 향상,바이오테크놀로지
482,초급,소셜 미디어 마케팅 배우기,문학
483,초급,대인 관계 기술 향상,정치학
484,초급,공공 연설 능력 개발,공학
485,고급,커뮤니케이션 전략 배우기,가상 현실
486,고급,생산성 높이는 방법 배우기,자연 보전
487,초급,커뮤니케이션 전략 배우기,애니메이션
488,고급,고전 문학 학습,자동차
489,중급,인공지능 알고리즘 이해하기,기계 공학
490,초급,커뮤니케이션 전략 배우기,인테리어 디자인
491,고급,창의적 사고력 향상,브랜딩
492,중급,재테크 학습,게임
493,초급,심리학 학습,직업 훈련
494,고급,인테리어 디자인 배우기,디지털 마케팅
495,고급,기업가 정신 배우기,웰빙
496,고급,프로그래밍 능력 향상,언어
497,중급,도시 계획 이해,인터뷰
498,중급,고급 수학 학습,감정 관리
499,초급,커뮤니케이션 전략 배우기,코딩
500,중급,성공적인 팀워크 기술 연마,패션
501,중급,네트워킹 기술 향상,기술 혁신
502,초급,프로그래밍 능력 향상,요리
503,고급,공간 예술 디자인 학습,환경 보호
504,중급,문제 해결 능력 개발,방송
505,고급,음악 이론 배우기,비즈니스 윤리
506,초급,아마추어 극단 운영 기술,기상학
507,중급,심리학 학습,자연 보전
508,중급,서비스 디자인 학습,코딩
509,고급,국제 정치 분석 기술,교육
510,초급,패션 산업 이해,네트워킹
511,초급,개인 브랜딩 전략 학습,역사
512,초급,재무 보고서 분석,직업 훈련
513,중급,인터뷰 기술 향상,글쓰기
514,중급,유행 분석 배우기,자동차
515,초급,프로그래밍 능력 향상,스트레스 관리
516,중급,발표 스킬 향상,조각
517,초급,타임 매니지먼트 배우기,해양학
518,초급,유행 분석 배우기,프로젝트 관리
519,중급,공연 기획 배우기,그래픽 디자인
520,초급,스키 기술 향상,교수법
521,초급,통계학 공부,교육
522,중급,도시 계획 이해,방송
523,고급,예술사 학습,자동차
524,고급,서비스 디자인 학습,감정 관리
525,초급,스토리텔링 능력 개발,그래픽 디자인
526,중급,외국어 배우기,커리어 개발
527,초급,서핑 배우기,문학
528,초급,국제 정치 분석 기술,브랜딩
529,고급,국제 정치 분석 기술,철학
530,초급,협상 기술 배우기,체육
531,초급,문학 분석 능력 개발,교수법
532,고급,영화 제작 이해,영화
533,고급,게임 디자인 이해,글쓰기
534,고급,독서 및 분석 능력 향상,요리
535,초급,기초 의학 학습,광고
536,중급,타임 매니지먼트 배우기,감정 관리
537,고급,프리랜서 비즈니스 관리,피트니스
538,중급,리더십 기술 향상,컴퓨터 과학
539,중급,문제 해결 능력 개발,인터넷
540,중급,고전 문학 학습,문화
541,고급,성공적인 팀워크 기술 연마,글쓰기
542,고급,인터뷰 기술 향상,그래픽 디자인
543,고급,기타 연주 배우기,광고
544,고급,서핑 배우기,로봇공학
545,중급,연구 논문 작성 기술 연마,물리학 실험
546,중급,현대 철학 이해,농업
547,고급,기업가 정신 배우기,공학
548,초급,블록체인 기술 학습,여행
549,초급,문서 작성 기술 배우기,미디어
550,초급,바리스타 기술 연마,디지털 마케팅
551,고급,기업가 정신 배우기,환경 보호
552,고급,그래픽 디자인 능력 개발,지질학
553,중급,음악 이론 배우기,우주과학
554,중급,프리젠테이션 능력 개발,영화 제작
555,초급,프로그래밍 능력 향상,시간 관리
556,고급,유행 분석 배우기,게임
557,초급,독서 및 분석 능력 향상,스포츠
558,중급,바이올린 연주 배우기,체육
559,초급,영화 비평 기술 향상,직업 훈련
560,고급,연구 논문 작성 기술 연마,요리
561,초급,유행 분석 배우기,음악
562,중급,타임 매니지먼트 배우기,지리학
563,고급,디지털 마케팅 기술 향상,광고
564,중급,기초 의학 학습,물리학 실험
565,중급,비즈니스 윤리 배우기,건축
566,중급,인테리어 디자인 배우기,3D 프린팅
567,중급,음악 이론 배우기,생물학
568,고급,연극 연출 능력 키우기,컴퓨터 그래픽
569,초급,고급 수학 학습,지질학
570,중급,기계 공학 원리 학습,커리어 개발
571,중급,인권 문제 이해,코딩
572,초급,창의적 사고력 향상,교수법
573,초급,생물학 원리 이해,심리학
574,고급,인테리어 디자인 배우기,자연 보전
575,중급,비즈니스 모델 개발,체육
576,고급,법률 지식 향상,네트워킹
577,초급,시간 관리 기술 향상,재무 관리
578,초급,유행 분석 배우기,정치학
579,초급,기업가 정신 배우기,브랜딩
580,고급,외국어 배우기,화학
581,중급,기초 의학 학습,웰빙
582,초급,소셜 미디어 마케팅 배우기,재무 관리
583,고급,인공지능 알고리즘 이해하기,조각
584,초급,창의적 사고력 향상,창업
585,중급,감정 조절 기술 배우기,통신
586,고급,유행 분석 배우기,브랜딩
587,초급,생물학 원리 이해,브랜딩
588,초급,애니메이션 제작 배우기,자기계발
589,초급,요리 기술 향상,지질학
590,초급,외국어 배우기,자동차
591,초급,자동차 정비 배우기,문학
592,고급,자동차 정비 배우기,출판
593,초급,서핑 배우기,직무 분석
594,초급,게임 디자인 이해,바다 생물학
595,중급,유튜브 영상 편집 배우기,애니메이션
596,고급,연구 논문 작성 기술 연마,건축
597,초급,통계학 공부,자동차
598,초급,요리 기술 향상,무용
599,초급,청중 분석 능력 개발,무용
600,중급,도시 계획 이해,환경 보호
601,초급,인터뷰 기술 향상,커리어 개발
602,고급,개인 브랜딩 전략 학습,방송
603,중급,청중 분석 능력 개발,문화
604,중급,스토리텔링 능력 개발,명상
605,고급,기계 공학 원리 학습,공공 연설
606,고급,소셜 미디어 마케팅 배우기,요리
607,고급,동물 보호 관련 지식 배우기,체육
608,고급,카메라 촬영 기술 배우기,사회학
609,고급,비평적 사고력 향상,기계 공학
610,초급,재테크 학습,팀 관리
611,고급,프로그래밍 능력 향상,법학
612,고급,대인 관계 기술 향상,시간 관리
613,중급,커뮤니케이션 전략 배우기,교육
614,고급,카피라이팅 기술 배우기,식물학
615,중급,통계학 공부,해양학
616,고급,데이터베이스 설계 배우기,정원 가꾸기
617,중급,예술사 학습,증강 현실
618,고급,데이터베이스 설계 배우기,애니메이션
619,중급,바리스타 기술 연마,교수법
620,중급,영어 작문 기술 향상,프로젝트 관리
621,고급,리더십 기술 향상,기술 혁신
622,초급,환경 보호 관련 지식 배우기,프로젝트 관리
623,중급,국제 협상 기술 배우기,문학
624,중급,서비스 디자인 학습,글쓰기
625,초급,브랜딩 전략 개발,조각
626,중급,조경 디자인 학습,3D 프린팅
627,고급,바이올린 연주 배우기,역사
628,초급,사회적 미디어 전략 개발,패션
629,고급,패션 산업 이해,문화
630,중급,애니메이션 제작 배우기,공학
631,중급,커뮤니케이션 전략 배우기,기술 혁신
632,중급,카피라이팅 기술 배우기,공공 연설
633,초급,리더십 기술 향상,광고
634,초급,패션 디자인 배우기,프로젝트 관리
635,고급,농업 기술 배우기,커리어 개발
636,고급,조경 디자인 학습,경제
